Classifier,Data,numInstances,numAttributes,Accuracy(%),Time(nano)
Linear Perceptron,arffstoprocess/haberman-survival.arff,306,4,57.388184031782565,48446
Enhanced Perceptron(Online),arffstoprocess/haberman-survival.arff,306,4,56.683326925541316,44798
Enhanced Perceptron(Online/Standard),arffstoprocess/haberman-survival.arff,306,4,64.40258020419485,75918
Enhanced Perceptron(Offline),arffstoprocess/haberman-survival.arff,306,4,53.90661711307596,4809768
Enhanced Perceptron(Offline/Standard),arffstoprocess/haberman-survival.arff,306,4,52.61865094621713,4252076
Ensemble (Enhanced/Online/Standard),arffstoprocess/haberman-survival.arff,306,4,73.63620829595453,4351117
Multilayer Perceptron,arffstoprocess/haberman-survival.arff,306,4,73.57426630783029,81487784
SMO,arffstoprocess/haberman-survival.arff,306,4,73.29659532658376,3653005
VotedPeceptron,arffstoprocess/haberman-survival.arff,306,4,74.3090264428211,281128
Linear Perceptron,arffstoprocess/ilpd-indian-liver.arff,583,10,52.68106075342016,64562
Enhanced Perceptron(Online),arffstoprocess/ilpd-indian-liver.arff,583,10,52.97519053597641,63682
Enhanced Perceptron(Online/Standard),arffstoprocess/ilpd-indian-liver.arff,583,10,57.461406518010364,305125
Enhanced Perceptron(Offline),arffstoprocess/ilpd-indian-liver.arff,583,10,54.69340359439561,16340844
Enhanced Perceptron(Offline/Standard),arffstoprocess/ilpd-indian-liver.arff,583,10,54.677488756461706,14206383
Ensemble (Enhanced/Online/Standard),arffstoprocess/ilpd-indian-liver.arff,583,10,64.64017730308328,9188620
Multilayer Perceptron,arffstoprocess/ilpd-indian-liver.arff,583,10,69.48182466564096,393508433
SMO,arffstoprocess/ilpd-indian-liver.arff,583,10,71.35682834963137,8894463
VotedPeceptron,arffstoprocess/ilpd-indian-liver.arff,583,10,70.48033338638282,1181082
Linear Perceptron,arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,54.97885428681279,44780
Enhanced Perceptron(Online),arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,54.57516339869284,46459
Enhanced Perceptron(Online/Standard),arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,62.76432141484048,75730
Enhanced Perceptron(Offline),arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,54.19069588619766,2338559
Enhanced Perceptron(Offline/Standard),arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,57.535563244905845,2363162
Ensemble (Enhanced/Online/Standard),arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,86.69742406766616,3412036
Multilayer Perceptron,arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,84.33294886582071,53195871
SMO,arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,86.69742406766615,2226180
VotedPeceptron,arffstoprocess/pittsburg-bridges-T-OR-D.arff,102,8,82.00692041522485,83720
Linear Perceptron,arffstoprocess/spect.arff,265,23,56.58090337335622,107364
Enhanced Perceptron(Online),arffstoprocess/spect.arff,265,23,56.818181818181834,104679
Enhanced Perceptron(Online/Standard),arffstoprocess/spect.arff,265,23,60.814751286449415,330675
Enhanced Perceptron(Offline),arffstoprocess/spect.arff,265,23,53.44196683819332,13664224
Enhanced Perceptron(Offline/Standard),arffstoprocess/spect.arff,265,23,58.76214979988565,13578621
Ensemble (Enhanced/Online/Standard),arffstoprocess/spect.arff,265,23,59.61692395654662,7469052
Multilayer Perceptron,arffstoprocess/spect.arff,265,23,65.11149228130357,625913089
SMO,arffstoprocess/spect.arff,265,23,70.03144654088044,5425870
VotedPeceptron,arffstoprocess/spect.arff,265,23,65.5717552887364,478622
Linear Perceptron,arffstoprocess/statlog-australian-credit.arff,690,15,49.93404746901912,120366
Enhanced Perceptron(Online),arffstoprocess/statlog-australian-credit.arff,690,15,50.02352446964922,116572
Enhanced Perceptron(Online/Standard),arffstoprocess/statlog-australian-credit.arff,690,15,48.49989498004622,516795
Enhanced Perceptron(Offline),arffstoprocess/statlog-australian-credit.arff,690,15,52.17895400126034,24585404
Enhanced Perceptron(Offline/Standard),arffstoprocess/statlog-australian-credit.arff,690,15,52.3516068052931,23761248
Ensemble (Enhanced/Online/Standard),arffstoprocess/statlog-australian-credit.arff,690,15,37.636210880067175,12390590
Multilayer Perceptron,arffstoprocess/statlog-australian-credit.arff,690,15,59.54757403906741,826244440
SMO,arffstoprocess/statlog-australian-credit.arff,690,15,67.83826927116118,21689798
VotedPeceptron,arffstoprocess/statlog-australian-credit.arff,690,15,63.375341314849955,2351298
Linear Perceptron,arffstoprocess/titanic.arff,2201,4,64.9307339639007,81095
Enhanced Perceptron(Online),arffstoprocess/titanic.arff,2201,4,64.66255008054186,78414
Enhanced Perceptron(Online/Standard),arffstoprocess/titanic.arff,2201,4,68.99310230886785,276492
Enhanced Perceptron(Offline),arffstoprocess/titanic.arff,2201,4,62.75069183429014,33467587
Enhanced Perceptron(Offline/Standard),arffstoprocess/titanic.arff,2201,4,62.82937507744412,30012969
Ensemble (Enhanced/Online/Standard),arffstoprocess/titanic.arff,2201,4,74.99248275577216,16128008
Multilayer Perceptron,arffstoprocess/titanic.arff,2201,4,77.78885630498539,586016318
SMO,arffstoprocess/titanic.arff,2201,4,77.60972285324857,46627879
VotedPeceptron,arffstoprocess/titanic.arff,2201,4,77.75618520507214,14152528
Linear Perceptron,arffstoprocess/trains.arff,10,30,52.0,3392
Enhanced Perceptron(Online),arffstoprocess/trains.arff,10,30,52.0,3633
Enhanced Perceptron(Online/Standard),arffstoprocess/trains.arff,10,30,48.0,25201
Enhanced Perceptron(Offline),arffstoprocess/trains.arff,10,30,62.0,10988
Enhanced Perceptron(Offline/Standard),arffstoprocess/trains.arff,10,30,58.0,28436
Ensemble (Enhanced/Online/Standard),arffstoprocess/trains.arff,10,30,50.0,4607217
Multilayer Perceptron,arffstoprocess/trains.arff,10,30,70.0,36125469
SMO,arffstoprocess/trains.arff,10,30,62.0,1973478
VotedPeceptron,arffstoprocess/trains.arff,10,30,60.0,32841
